customer_id,name,age,gender,city,country,signup_date,account_age_months,plan,subscription_status,subscription_start_date,subscription_end_date,monthly_bill,payment_method,auto_renew,login_frequency,monthly_active_days,sessions_per_month,avg_session_minutes,monthly_usage_hours,total_listening_hours,songs_played_monthly,songs_completed_monthly,songs_skipped_monthly,favorite_genre,favorite_artist,playlists_created,playlists_followed,liked_songs_count,albums_saved,artists_followed,searches_per_month,artists_viewed,albums_viewed,playlist_views,recommendation_clicks,discovery_sessions,songs_added_to_playlists,collaborative_playlists,public_playlists,playlist_shares,users_followed,followers_count,songs_shared,playlists_shared,social_interactions,podcast_episodes_played,podcast_listening_hours,podcasts_followed,audiobooks_started,audiobook_listening_hours,engagement_score,satisfaction_score,activity_score,loyalty_score,usage_change_pct,listening_change_pct,login_change_pct,complaint_count,open_complaints,avg_resolution_days,last_complaint_days_ago,support_tickets,payment_delay_days,payment_failures,late_payments,refund_requests,payment_issue_count,plan_changes,upgrades,downgrades,last_plan_change_days_ago,app_rating,favorite_feature,most_used_device,primary_device,device_count,mobile_usage_pct,desktop_usage_pct,tablet_usage_pct,last_login_days_ago,login_failures,account_warnings,user_segment,churn_risk,churn
C1001,Arun Joshi,33,Male,Pune,India,2026-01-25,8,Premium,Active,2026-05-25,2026-06-24,119,UPI,Yes,25,28,49,58,47.4,284.4,419,392,27,Lo-Fi Chill,Aetheria,14,13,429,34,25,89,45,27,25,60,17,182,3,9,7,20,28,12,7,39,0,0,0,0,0,84,4.5,91,59,38,31,34,1,0,2,68,1,0,0,0,0,0,1,2,0,23,5,Audiobooks,Mobile,Mobile,1,70,20,10,2,0,0,Power User,Low,0
C1002,Rishi Deshmukh,37,Male,Mumbai,India,2024-12-01,22,Family,Active,2025-12-03,2026-01-02,179,UPI,Yes,25,27,81,52,70.2,1158.3,901,851,50,Pop Melodic,Solaris Project,17,4,400,32,39,50,22,14,106,23,28,170,4,11,8,39,50,4,8,51,0,0,0,0,0,95,4.8,96,81,13,14,12,0,0,0,0,0,0,0,0,0,0,2,2,0,106,5,Social,Tablet,Tablet,2,30,10,60,0,2,0,Power User,Low,0
C1003,Lavanya Menon,35,Female,Kochi,India,2026-05-25,4,Family,Active,2026-09-13,2026-10-13,179,Net Banking,Yes,27,28,45,72,54,162,845,797,48,Ambient Space,RetroWave Orchestra,15,13,325,26,40,100,55,49,45,41,16,135,3,10,7,60,42,8,7,75,0,0,0,0,0,94,5,89,58,6,5,5,0,0,0,0,0,0,0,0,0,0,2,1,0,18,5,Music Streaming,Desktop,Desktop,4,25,65,10,0,0,0,Power User,Low,0
C1004,Farhan Naik,50,Male,Mumbai,India,2025-09-27,12,Family,Active,2026-02-07,2026-03-09,179,Net Banking,Yes,28,30,76,48,60.8,547.2,563,525,38,Acoustic Folk,The Midnight Walkers,16,2,245,20,23,42,18,12,43,21,27,144,4,11,8,20,28,4,8,32,0,0,0,0,0,98,4.8,96,69,26,25,23,0,0,0,0,0,0,0,0,0,0,1,2,0,33,5,Recommendations,Tablet,Tablet,3,30,10,60,0,0,0,Power User,Low,0
C1005,Deepika Rao,45,Female,Chennai,India,2024-03-06,31,Premium,Active,2026-02-20,2026-03-22,119,UPI,Yes,25,28,90,71,106.5,2476.1,700,672,28,Lo-Fi Chill,Kavita Sundaram,8,2,171,14,16,77,45,22,114,32,31,104,2,5,4,14,26,6,4,24,0,0,0,0,0,92,5,97,91,42,49,34,0,0,0,0,0,0,0,0,0,0,1,2,0,145,5,Music Streaming,Mobile,Mobile,2,70,20,10,2,0,0,Power User,Low,0
C1006,Manish Verma,39,Male,Kochi,India,2025-09-27,12,Premium,Active,2025-12-01,2025-12-31,119,Net Banking,Yes,30,28,63,45,47.3,425.7,639,607,32,Lo-Fi Chill,CyberPulse,16,5,218,17,33,49,29,10,37,39,22,208,4,11,8,36,25,7,8,51,0,0,0,0,0,93,4.9,97,68,20,21,15,0,0,0,0,0,0,0,0,0,0,1,1,0,54,5,Music Streaming,Tablet,Tablet,4,30,10,60,2,1,0,Power User,Low,0
C1007,Lavanya Pillai,26,Female,Hyderabad,India,2024-10-02,24,Premium,Active,2025-12-30,2026-01-29,119,UPI,Yes,30,28,68,71,80.5,1449,843,807,36,Cyberpunk Bass,Neon Mirage,11,9,325,26,37,103,44,33,43,76,24,176,2,7,5,25,20,15,5,45,0,0,0,0,0,99,4.4,97,85,5,5,5,1,0,3.4,78,1,0,0,0,0,0,2,1,0,176,4,Playlists,Desktop,Desktop,3,25,65,10,2,1,0,Power User,Low,0
C1008,Harish Menon,34,Male,Ahmedabad,India,2026-04-25,5,Premium,Active,2026-07-11,2026-08-10,119,Net Banking,Yes,27,25,56,55,51.3,192.4,676,639,37,Synthwave,Aetheria,4,7,433,35,23,95,43,32,72,39,20,44,1,2,2,11,13,7,2,20,0,0,0,0,0,87,4.9,91,57,17,17,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,Search,Desktop,Desktop,3,25,65,10,0,0,0,Power User,Low,0
C1009,Kriti Mehta,30,Female,Delhi NCR,India,2026-08-23,1,Premium,Active,2025-12-28,2026-01-27,119,UPI,Yes,28,27,62,47,48.6,48.6,851,816,35,Acoustic Folk,CyberPulse,18,13,315,25,35,57,32,11,46,23,22,144,4,12,9,35,66,4,9,48,0,0,0,0,0,91,4.8,96,53,15,16,15,0,0,0,0,0,0,0,0,0,0,2,1,0,62,5,Social,Mobile,Mobile,2,70,20,10,0,3,0,Power User,Low,0
C1010,Rishi Singhania,27,Male,Lucknow,India,2026-01-25,8,Premium,Active,2026-07-13,2026-08-12,119,Debit Card,Yes,29,26,94,63,98.7,592.2,947,917,30,Chillstep,Lunar Echoes,14,3,377,30,19,84,26,18,83,63,33,182,3,9,7,22,39,12,7,41,0,0,0,0,0,99,4.7,95,65,16,15,17,0,0,0,0,0,0,0,0,0,0,2,1,0,45,5,Music Streaming,Mobile,Mobile,3,70,20,10,0,0,0,Power User,Low,0
